ID,IRI,dcterms:issued,dcterms:creator,dcterms:type,dcterms:title,dcterms:description,dcat:theme,dcterms:publisher,dcterms:source,dcterms:bibliographicCitation,ISBN,authorID,online
167f973a-1bf4-4528-82af-b737c8f173f9,https://data.idnau.org/pid/167f973a-1bf4-4528-82af-b737c8f173f9,2019,"Smith, K., Langton, M., Chenhall, R. & Smith, P., Bawden, S.",http://id.loc.gov/vocabulary/marcgt/boo,"The Alcohol Management Plan at Pormpuraaw, Queensland, Australia: An ethnographic community-based study","Since 2002, Alcohol Management Plans (AMPs) have been used in many Indigenous communities as a framework to reduce alcohol-related harms. (Smith et al., 2013). This report outlines the findings of an ethnographic research project which gathered and analysed the AMP in the remote Indigenous community of Pormpuraaw on the western coast of Cape York Peninsula in far north Queensland. The qualitative and quantitative evidence examined in this project shows a significant reduction in alcohol-related harms following the introduction of the AMP. It offers nuanced understandings of how AMPs are understood, investigates their effectiveness in responding to alcohol-related harms and examines community engagement in their design, implementation and evaluation. This research increases knowledge about local residents’ experiences and understandings of AMPs.This can inform an appropriate policy framework that effectively responds to the harms associated with alcohol misuse.",Aboriginal health,Foundation for Alcohol Research and Education,,,9780648426776,"https://orcid.org/0000-0002-0346-2820, https://orcid.org/0000-0002-1398-7524",https://fare.org.au/wp-content/uploads/The-Alcohol-Management-Plan-at-Pormpuraaw.pdf
1c5c5a3b-afc5-46f4-9276-3dc782670d2b,https://doi.org/10.3138/9781442624986-020,2016,"Davis, M. & Langton, M",http://purl.org/spar/fabio/BookChapter,Constitutional Reform in Australia: Recognizing Indigenous Australians in the Absence of a Reconciliation Process,"The chapter has traverses the period of Federation and the exclusion of Aboriginal people in the drafting of the Constitution to the 1967 referendum, the so-called reconciliation phase to the contemporary period of  ""recognition""  –  a  concept  embraced  by  the  state  only  as  long  as  it  means symbolism and non-justiciability. The preference for symbolism and non-substance reflects the resignation of the state to the conservative  nature  of  the  polity  evidenced  by  the  few  times  the  Constitution  has been amended. Eight out of forty-four referendums have succeeded since 1901, and the distinguishing feature of success was support from both political parties. In addition these changes have occurred under conservative government that has heightened the hysteria around who can and cannot drive constitutional reform. The starting point for the state on constitutional reform has shifted from what is best for the Aus-tralian people and what legally and technically robust to what minimal, inoffensive gesture will get support.",,,,,,,
2975ec4e-518f-4a09-8e6d-38bad64728a3,https://data.idnau.org/pid/2975ec4e-518f-4a09-8e6d-38bad64728a3,2018,"Langton, M.",http://id.loc.gov/vocabulary/marcgt/boo,Welcome to Country: A travel guide to Indigenous Australia,"Welcome to Country is essential reading for every young Australian. The chapters cover pre and post-colonial history, language, kinship, knowledge, art, performance and storytelling. Important narratives on Native Title and the Stolen Generations are included as well as making a rightful place for First Australians and looking to the future for Indigenous Australia. This book is for the new Australian generations and works towards rectifying the wrongs of this country's past. You will quickly appreciate how lucky we are to be the home of the world's oldest continuing civilisation - which is both diverse and thriving in Australia today.",Culture,Hardie Grant,,,9781741177435,https://orcid.org/0000-0002-1398-7524,
2d0a5fae-28f5-4eb0-988d-7121dcf1cc20,https://doi.org/10.1002/ajs4.200,2022,"Chamberlain, C., Gray, P., Bennet, D., Elliott, A., Jackomos, M., Krakouer, J., ... Langton, M.",http://id.loc.gov/vocabulary/marcgt/art,Supporting Aboriginal and Torres Strait Islander Families to Stay Together from the Start (SAFeST Start): Urgent call to action to address crisis in infant removals.,"Reducing the rate of over-representation of Aboriginal and Torres Strait Islander children in out-of-home care (OOHC) is a key Closing the Gap target committed to by all Australian governments. Current strategies are failing. The “gap” is widening, with the rate of Aboriginal and Torres Strait Islander children in OOHC at 30 June 2020 being 11 times that of non-Indigenous children. Approximately, one in five Aboriginal and Torres Strait Islander children entering OOHC each year are younger than one year. These figures represent compounding intergenerational trauma and institutional harm to Aboriginal and Torres Strait Islander families and communities. This article outlines systemic failures to address the needs of Aboriginal and Torres Strait Islander parents during pregnancy and following birth, causing cumulative harm and trauma to families, communities and cultures. Major reform to child and family notification and service systems, and significant investment to address this crisis, is urgently needed. The Family Matters Building Blocks and five elements of the Aboriginal and Torres Strait Islander Child Placement Principle (Prevention, Participation, Partnership, Placement and Connection) provide a transformative foundation to address historical, institutional, well-being and socioeconomic drivers of current catastrophic trajectories. ",Aboriginal children,"John Wiley & Sons, Inc.",Australian Journal of Social Issues,"Chamberlain, C., Gray, P., Bennet, D., Elliott, A., Jackomos, M., Krakouer, J., ... Langton, M. (2022). Supporting Aboriginal and Torres Strait Islander Families to Stay Together from the Start (SAFeST Start): Urgent call to action to address crisis in infant removals. Australian Journal of Social Issues, 57(2), pp. 252-273.",,,
3a7f2a96-4171-406e-9113-bee3254d6350,https://data.idnau.org/pid/3a7f2a96-4171-406e-9113-bee3254d6350,2015,"Langton, M.",http://id.loc.gov/vocabulary/marcgt/boo,From Conflict to Cooperation: Transformations and Challenges in the Engagement Between the Australian Minerals Industry and Australian Indigenous Peoples,"The engagement between the minerals industry and Indigenous Australians has been characterised by remarkable change in the last two decades. Instead of constant conflict in every encounter, there is now a widespread approach of sophisticated face-to-face engagement that fosters discussion rather than argument. This has resulted in the adoption of good practices in negotiation and agreement-making between parties. This relationship has been  positively transformed by more than 20 years of reform in the  rights of Indigenous Australians  and innovative engagement on  the part of the minerals industry. The hard-won transformation from one of acrimonious conflict to mutually beneficial agreementmaking has produced substantial Indigenous employment and enterprise outcomes. A number of agreements have been developed in the minerals industry without contesting native title. Agreements cover issues such as access to land and resources, infrastructure, environmental management, tourism and cultural heritage, facilitating business and service delivery, accelerating positive outcomes in employment, skills, training, income levels, education standards, health and other social and economic indicators. These negotiated settlements can provide resolution to issues not envisaged by the Native Title Act 1993 (Cth) (NTA), such as wealth creation, sustainable development post project and transitioning from welfare dependency to economic participation. The positive approach by minerals companies toward their relationships with Indigenous communities has fostered respect for Aboriginal culture and history and delivered tangible socioeconomic impacts. This has driven increased economic participation for Indigenous people, and growing procurement of goods and services from Indigenous businesses and joint ventures. For example, up to 150 Aboriginal businesses have been established in the mining supply chain in the Pilbara with combined turnover in excess of hundreds of millions of dollars.",Employment of Aborigines,Mincerals Council of Australia,,,9780992533328,https://orcid.org/0000-0002-1398-7524,
762463a4-f8b1-4eec-a335-3689c8d86e9e,https://data.idnau.org/pid/762463a4-f8b1-4eec-a335-3689c8d86e9e,2023,"Langton, M., Corn A.",http://id.loc.gov/vocabulary/marcgt/boo,Law: The Way of the Ancestors,"The authors show how Indigenous law has enabled people to survive and thrive in Australia for more than 2000 generations. Nurturing people and places, law is the foundation of all Indigenous societies in Australia, giving them the tools to respond and adapt to major environmental and social changes.",Law,Hardie Grant,,,9781760762827,,
7674e087-5417-40f5-ac7f-e578c0f002ce,https://doi.org/10.1111/eip.13184,2021,"Liddle, J., Langton, M., Rose, J. W. W., & Rice, S.",http://id.loc.gov/vocabulary/marcgt/art,New thinking about old ways: Cultural continuity for improved mental health of young Central Australian Aboriginal men.,"Decades of reports and policy have drawn attention to the significant social and occupational impairment of many young Aboriginal men in Central Australia. However, the role of mental ill-health as a contributing factor to this impairment, and culturally appropriate intervention targets have received insufficient attention in the psychiatry literature. Despite having the worst health outcomes of any population in Australia, Aboriginal men chronically underuse primary health care services. It's proposed that interventions ensuring cultural continuity through Identity-strengthening with a particular focus on positive Aboriginal masculinities will address a critical mental health gap for young men. In Central Australian and broader Indigenous populations, tangible and measurable kinship, language, religious and economic (KLRE) activities are catalytic vehicles for restoring traditional knowledge that suffer ongoing pressures as a result of colonization and assimilationist Government policy. By transforming KLRE knowledge content from ethnographic archives, these culturally rich repositories may be utilized to create education and engagement materials that will support young Aboriginal men's efforts to obtain and maintain positive mental health. This proposal focuses on building resilience through the acquisition of KLRE knowledge which young Aboriginal men can utilize as resources for enhancing positive identity and mental health outcomes.",Aboriginal health; Aboriginal men,"John Wiley & Sons, Inc.",Early Intervention in Psychiatry,"Liddle J, Langton M, Rose JWW, Rice S. New thinking about old ways: Cultural continuity for improved mental health of young Central Australian Aboriginal men. Early Interv Psychiatry. 2022 Apr;16(4):461-465. doi: 10.1111/eip.13184. Epub 2021 Jun 24. PMID: 34169649.",,,
7ae1b04b-160b-4e57-807f-aa2445fb4537,https://data.idnau.org/pid/7ae1b04b-160b-4e57-807f-aa2445fb4537, ,,David Duran House Short Term Archive,Archival boxes,"Room with archival boxes at David Duran House, Universit of Melbourne, belonging to the Indigenous Studies Unit",,,,,,,
a7df33f3-277f-47bc-b38b-e91a664c0110,https://data.idnau.org/pid/a7df33f3-277f-47bc-b38b-e91a664c0110,2019,"Langton, M.",http://id.loc.gov/vocabulary/marcgt/boo,Welcome to Country: An Introduction to Our First Peoples for Young Australians,"A curated guidebook that offers insights into Indigenous languages and customs, history, native title, art and dance, storytelling, and cultural awareness and etiquette for visitors. There is also a directory of Indigenous tourism experiences, organised by state or territory, covering galleries and festivals, national parks and museums, communities that are open to visitors, as well as tours and performances.",Culture,Hardie Grant,,,9781741176667,"https://orcid.org/0000-0002-1398-7524, https://orcid.org/0000-0002-4797-9776",
bc740519-9594-41e7-8e2e-7c79e03b21ba,https://doi.org/10.1111/jpc.15701,2021,"Stanley, F., Langton, M., Ward, J., McAullay, D. & Eades, S.",http://id.loc.gov/vocabulary/marcgt/art,Australian First Nations response to the pandemic: A dramatic reversal of the 'gap'.,"Until the recent death in Dubbo of an Aboriginal man, there have been no deaths from Covid 19 in Australia. The extraordinary success of Aboriginal and Torres Strait Islander populations in controlling the effects of this pandemic has been a global role model. Until early 2021, in spite of their high risk status, dispersed population and fear of health services due to racism, Indigenous outcomes were better than those for non-Indigenous. Aboriginal health leaders at every level brought in worlds best practices and applied them in all urban, rural and remote locations. Instead of the many hundreds of cases, hospitalisation and deaths expected, there were only 150 cases nationwide with15% hospitalised but no one in ICU and no deaths. This result is a complete reversal of the gap and was due to the outstanding Indigenous leadership, that governments at all levels listened to Aboriginal wisdom and that control was handed to those who knew what to do. This result is not only evidence for why a Voice enshrined in the Constitution would work, it heralds a new way of working with Aboriginal people in Australia. This viewpoint makes the case for a different model to engage and empower First Nations to really close the gap - themselves.",Aboriginal health,"John Wiley & Sons, Inc.",Journal of Paediatrics and Child Health,"Stanley, F., Langton, M., Ward, J., McAullay, D. & Eades, S. (2021). Australian First Nations response to the pandemic: A dramatic reversal of the 'gap'. Journal of Paediatrics and Child Health, 57(12), pp. 1853-1856.",,,
